	input	category	prediction
0	A cake was blessed by the wolf .	active_to_passive	cake ( 12 ) ; wolf ( 27 ) ; bless ( 34 ) AND theme ( 34 , 12 ) AND agent ( 34 , 27 )
1	A melon was blessed by a boy .	active_to_passive	melon ( 29 ) ; boy ( 12 ) ; bless ( 45 ) AND theme ( 45 , 29 ) AND agent ( 45 , 12 )
2	A cake was blessed by Nathan .	active_to_passive	cake ( 12 ) ; Nathan ( 25 ) ; bless ( 30 ) AND theme ( 30 , 12 ) AND agent ( 30 , 25 )
3	The bowl was blessed by a girl .	active_to_passive	* bowl ( 29 ) ; girl ( 12 ) ; bless ( 45 ) AND theme ( 45 , 29 ) AND agent ( 45 , 12 )
4	The teacher believed that the toy was blessed by Mia .	active_to_passive	The teacher ( 12 ) ; toy ( 25 ) ; Mia ( 34 ) ; believe ( 19 ) AND agent ( 19 , 12 ) AND ccomp ( 19 , 27 ) AND bless ( 27 ) AND theme ( 27 , 25 ) AND agent ( 27 , 34 )
5	The radio was blessed .	active_to_passive	* radio ( 29 ) ; bless ( 12 ) AND theme ( 12 , 29 )
6	A raisin was blessed by Sofia .	active_to_passive	raisin ( 29 ) ; Sofia ( 12 ) ; bless ( 34 ) AND theme ( 34 , 29 ) AND agent ( 34 , 12 )
7	A pencil was blessed .	active_to_passive	* pencil ( 29 ) ; bless ( 12 ) AND theme ( 12 , 29 )
8	A donut was blessed by a horse .	active_to_passive	donut ( 29 ) ; * horse ( 12 ) ; bless ( 45 ) AND theme ( 45 , 29 ) AND agent ( 45 , 12 )
9	A rose was blessed .	active_to_passive	* rose ( 29 ) ; bless ( 12 ) AND theme ( 12 , 29 )
10	Emma said that the drink was blessed by a girl .	active_to_passive	Emma ( 10 ) ; * drink ( 18 ) ; girl ( 25 ) ; say ( 1 ) AND agent ( 1 , 10 ) AND ccomp ( 1 , 27 ) AND bless ( 27 ) AND theme ( 27 , 18 ) AND agent ( 27 , 25 )
11	The needle was blessed .	active_to_passive	* needle ( 29 ) ; bless ( 12 ) AND theme ( 12 , 29 )
